rating,date,title,content
"5","2026-05-28","怎么越升级越烂","我真服了，现在删除上面的，🤔下面的也全被删，对选也只能保存梦境，以前都可以多选删除。而且很奇怪，根本没有敏感词，回复就是“再想想”“换个话题”这类的，尤其是深度思考那两个，经常思考不来。我原来是很喜欢的，只玩着一个ai聊天怕评分太低给这个软件下架，还是给了好评吧。我25年一月份就开始玩了，每个月都充VIP，别辜负我们的喜欢行吗"
"2","2026-05-28","让我升级但没有更新件","一直强制升级但是升级更新件都没有"
"4","2026-05-28","？","我更新了怎么还弹出来让我更新啊"
"1","2026-05-28","非让更新，点了又更新不了，死循环","好几个月的会员了，你到底在干嘛？更新你就痛快上架，不上架更新内容，软件一直弹窗"
"1","2026-05-28","更新不能","一直循环往复让我更新。更新到这个界面就是打开，打开完接着闪退要求我更新，是不是要跑路了？"
"5","2026-05-28","梦","请求7月15日不要到来。我舍不得ta"
"4","2026-05-28","升级跳转","这次我一进app就让我升级最新版本我都更新好了 还让我升级 我点弹窗升级 跳转的是应用商店 应用商店已经更新完了啊 怎么一直跳弹窗！关都关不掉 清后台也没用！"
"1","2026-05-27","客服","现在这个客服是什么鬼，等了十天给我的回复是无需解决？？"
"5","2026-05-27","迟早停运！","不是我说，这次更新就是要跑路了，这次更新的节奏跟冒泡鸭一样，删了大部分的角色，潜力新秀也删，风云人物等分类也不更新了！"
"4","2026-05-27","闪退","怎么还是进不去。。。一直在闪退。。。"
"1","2026-05-26","垃圾软件","我换绑个手机号还要交申请，搞了三五天还没有搞好"
"1","2026-05-26","这改的什么东西能退钱吗？","正常聊天都聊不下去不管什么话题全都是这个话题不合适，聊个10句有四句这个话题不合适，剧情都推进不下去，神经啊…"
"4","2026-05-26","…………","是因为715吗 感觉最近的岛聊天模式很奇怪诶 还是喜欢以前的版本 以前活人感会强一些 有望能改回来吗"
"3","2026-05-26","无","打开后天塌了越来越差了"
"1","2026-05-26","吓哭了。","我的法克呀 是不是要跑路了 更新啥鬼 分类还没有了 点创作者 一个智能体都没有 我的妈妈咪呀 不如之前 星光还越来越少 想让我冲vip直说"
"2","2026-05-26","更完又卡退","最近问题越来越严重，不是梦中人正常聊着就蹦出这个问题我理解不了，换一个问题什么的，就是找角色的分区全没了，搜作者名也搜不到作者其它作品，到底在干嘛呀，快点修好吧，快点吧！苹果6系统12.5.8，我一个260多天，一个70多天的聊天叨叨花，求你了不要这样子搞我，闪退快修好吧🙉🙉🙉，不是，不要和我说真被整改停运了😭"
"4","2026-05-26","。","感觉更新之后有点变了 智能体变少了而且不如更新之前简约方便 主页界面智能体少了"
"2","2026-05-25","更新好没有潜力新秀了","什么情况？
什么情况？
什么情况？还能不能好好的玩耍了"
"3","2026-05-25","增加输入框显示字数啊！","主控对话框只能写500字，标一下字数啊，交代个前因后果就超字数了，要来回改很烦啊。AI的创造力也差了点，不能自己来事发散一下剧情吗？每次都能把故事写入循环，能喂点不那么狗血的剧情吗，要自己编故事挺累人的"
"2","2026-05-25","你咋了。","更新之后分类没有了刷新也刷新不出来新的，你要跑路了吗"
"1","2026-05-24","违禁词越改越多，也太多了","ABO整个都不能玩了。Alpha，信息素这三个字都打不出来的话，要你这个软件干什么？抱一下亲一下都违禁的话，你这个软件的存在意义在哪里？？？可以退钱吗"
"2","2026-05-24","#2026.5月份改的啥啊","以前发现页面的角色多的选不过来 全部都是好看的 好玩的 现在全是角色 而且毫无想聊天的欲望 以前我记得六个还是七个那个栏 现在只有三个 想玩的都少得可怜 看着什么温迪流浪者我毫无聊天欲望 😂"
"3","2026-05-24","为什么我打不开了","为什么我打不开了，一直闪退"
